time,id,selection,a,b,c_in,m,f,p,g,c4,ab
966,0002,0000,0100,0000,0,1,1011,1,1,1,1
976,0002,0000,0100,0001,0,1,1011,1,1,1,1
986,0002,0000,0100,0010,0,1,1011,1,1,1,1
996,0002,0000,0100,0011,0,1,1011,1,1,1,1
1006,0002,0000,0100,0100,0,1,1011,1,1,1,1
1016,0002,0000,0100,0101,0,1,1011,1,1,1,1
1026,0002,0000,0100,0110,0,1,1011,1,1,1,1
1036,0002,0000,0100,0111,0,1,1011,1,1,1,1
1046,0002,0000,0100,1000,0,1,1011,1,1,1,1
1056,0002,0000,0100,1001,0,1,1011,1,1,1,1
1066,0002,0000,0100,1010,0,1,1011,1,1,1,1
1076,0002,0000,0100,1011,0,1,1011,1,1,1,1
1086,0002,0000,0100,1100,0,1,1011,1,1,1,1
1096,0002,0000,0100,1101,0,1,1011,1,1,1,1
1106,0002,0000,0100,1110,0,1,1011,1,1,1,1
1116,0002,0000,0100,1111,0,1,1011,1,1,1,1
1126,0002,0000,0101,0000,0,1,1010,1,1,1,1
1136,0002,0000,0101,0001,0,1,1010,1,1,1,1
1146,0002,0000,0101,0010,0,1,1010,1,1,1,1
1156,0002,0000,0101,0011,0,1,1010,1,1,1,1
1166,0002,0000,0101,0100,0,1,1010,1,1,1,1
1176,0002,0000,0101,0101,0,1,1010,1,1,1,1
1186,0002,0000,0101,0110,0,1,1010,1,1,1,1
1196,0002,0000,0101,0111,0,1,1010,1,1,1,1
1206,0002,0000,0101,1000,0,1,1010,1,1,1,1
1216,0002,0000,0101,1001,0,1,1010,1,1,1,1
1226,0002,0000,0101,1010,0,1,1010,1,1,1,1
1236,0002,0000,0101,1011,0,1,1010,1,1,1,1
1246,0002,0000,0101,1100,0,1,1010,1,1,1,1
1256,0002,0000,0101,1101,0,1,1010,1,1,1,1
1266,0002,0000,0101,1110,0,1,1010,1,1,1,1
1276,0002,0000,0101,1111,0,1,1010,1,1,1,1
1286,0002,0000,0110,0000,0,1,1001,1,1,1,1
1296,0002,0000,0110,0001,0,1,1001,1,1,1,1
1306,0002,0000,0110,0010,0,1,1001,1,1,1,1
1316,0002,0000,0110,0011,0,1,1001,1,1,1,1
1326,0002,0000,0110,0100,0,1,1001,1,1,1,1
1336,0002,0000,0110,0101,0,1,1001,1,1,1,1
1346,0002,0000,0110,0110,0,1,1001,1,1,1,1
1356,0002,0000,0110,0111,0,1,1001,1,1,1,1
1366,0002,0000,0110,1000,0,1,1001,1,1,1,1
1376,0002,0000,0110,1001,0,1,1001,1,1,1,1
1386,0002,0000,0110,1010,0,1,1001,1,1,1,1
1396,0002,0000,0110,1011,0,1,1001,1,1,1,1
1406,0002,0000,0110,1100,0,1,1001,1,1,1,1
1416,0002,0000,0110,1101,0,1,1001,1,1,1,1
1426,0002,0000,0110,1110,0,1,1001,1,1,1,1
1436,0002,0000,0110,1111,0,1,1001,1,1,1,1
1446,0002,0000,0111,0000,0,1,1000,1,1,1,1
1456,0002,0000,0111,0001,0,1,1000,1,1,1,1
1466,0002,0000,0111,0010,0,1,1000,1,1,1,1
1476,0002,0000,0111,0011,0,1,1000,1,1,1,1
1486,0002,0000,0111,0100,0,1,1000,1,1,1,1
1496,0002,0000,0111,0101,0,1,1000,1,1,1,1
1506,0002,0000,0111,0110,0,1,1000,1,1,1,1
1516,0002,0000,0111,0111,0,1,1000,1,1,1,1
1526,0002,0000,0111,1000,0,1,1000,1,1,1,1
1536,0002,0000,0111,1001,0,1,1000,1,1,1,1
1546,0002,0000,0111,1010,0,1,1000,1,1,1,1
1556,0002,0000,0111,1011,0,1,1000,1,1,1,1
1566,0002,0000,0111,1100,0,1,1000,1,1,1,1
1576,0002,0000,0111,1101,0,1,1000,1,1,1,1
1586,0002,0000,0111,1110,0,1,1000,1,1,1,1
1596,0002,0000,0111,1111,0,1,1000,1,1,1,1
1606,0002,0000,1000,0000,0,1,0111,1,1,1,1
1616,0002,0000,1000,0001,0,1,0111,1,1,1,1
1626,0002,0000,1000,0010,0,1,0111,1,1,1,1
1636,0002,0000,1000,0011,0,1,0111,1,1,1,1
1646,0002,0000,1000,0100,0,1,0111,1,1,1,1
1656,0002,0000,1000,0101,0,1,0111,1,1,1,1
1666,0002,0000,1000,0110,0,1,0111,1,1,1,1
1676,0002,0000,1000,0111,0,1,0111,1,1,1,1
1686,0002,0000,1000,1000,0,1,0111,1,1,1,1
1696,0002,0000,1000,1001,0,1,0111,1,1,1,1
1706,0002,0000,1000,1010,0,1,0111,1,1,1,1
1716,0002,0000,1000,1011,0,1,0111,1,1,1,1
1726,0002,0000,1000,1100,0,1,0111,1,1,1,1
1736,0002,0000,1000,1101,0,1,0111,1,1,1,1
1746,0002,0000,1000,1110,0,1,0111,1,1,1,1
1756,0002,0000,1000,1111,0,1,0111,1,1,1,1
1766,0002,0000,1001,0000,0,1,0110,1,1,1,1
1776,0002,0000,1001,0001,0,1,0110,1,1,1,1
1786,0002,0000,1001,0010,0,1,0110,1,1,1,1
1796,0002,0000,1001,0011,0,1,0110,1,1,1,1
1806,0002,0000,1001,0100,0,1,0110,1,1,1,1
1816,0002,0000,1001,0101,0,1,0110,1,1,1,1
1826,0002,0000,1001,0110,0,1,0110,1,1,1,1
1836,0002,0000,1001,0111,0,1,0110,1,1,1,1
1846,0002,0000,1001,1000,0,1,0110,1,1,1,1
1856,0002,0000,1001,1001,0,1,0110,1,1,1,1
1866,0002,0000,1001,1010,0,1,0110,1,1,1,1
1876,0002,0000,1001,1011,0,1,0110,1,1,1,1
1886,0002,0000,1001,1100,0,1,0110,1,1,1,1
1896,0002,0000,1001,1101,0,1,0110,1,1,1,1
1906,0002,0000,1001,1110,0,1,0110,1,1,1,1
1916,0002,0000,1001,1111,0,1,0110,1,1,1,1
1926,0002,0000,1010,0000,0,1,0101,1,1,1,1
1936,0002,0000,1010,0001,0,1,0101,1,1,1,1
1946,0002,0000,1010,0010,0,1,0101,1,1,1,1
1956,0002,0000,1010,0011,0,1,0101,1,1,1,1
1966,0002,0000,1010,0100,0,1,0101,1,1,1,1
1976,0002,0000,1010,0101,0,1,0101,1,1,1,1
1986,0002,0000,1010,0110,0,1,0101,1,1,1,1
1996,0002,0000,1010,0111,0,1,0101,1,1,1,1
2006,0002,0000,1010,1000,0,1,0101,1,1,1,1
2016,0002,0000,1010,1001,0,1,0101,1,1,1,1
2026,0002,0000,1010,1010,0,1,0101,1,1,1,1
2036,0002,0000,1010,1011,0,1,0101,1,1,1,1
2046,0002,0000,1010,1100,0,1,0101,1,1,1,1
2056,0002,0000,1010,1101,0,1,0101,1,1,1,1
2066,0002,0000,1010,1110,0,1,0101,1,1,1,1
2076,0002,0000,1010,1111,0,1,0101,1,1,1,1
2086,0002,0000,1011,0000,0,1,0100,1,1,1,1
2096,0002,0000,1011,0001,0,1,0100,1,1,1,1
2106,0002,0000,1011,0010,0,1,0100,1,1,1,1
2116,0002,0000,1011,0011,0,1,0100,1,1,1,1
2126,0002,0000,1011,0100,0,1,0100,1,1,1,1
2136,0002,0000,1011,0101,0,1,0100,1,1,1,1
2146,0002,0000,1011,0110,0,1,0100,1,1,1,1
2156,0002,0000,1011,0111,0,1,0100,1,1,1,1
2166,0002,0000,1011,1000,0,1,0100,1,1,1,1
2176,0002,0000,1011,1001,0,1,0100,1,1,1,1
2186,0002,0000,1011,1010,0,1,0100,1,1,1,1
2196,0002,0000,1011,1011,0,1,0100,1,1,1,1
2206,0002,0000,1011,1100,0,1,0100,1,1,1,1
2216,0002,0000,1011,1101,0,1,0100,1,1,1,1
2226,0002,0000,1011,1110,0,1,0100,1,1,1,1
2236,0002,0000,1011,1111,0,1,0100,1,1,1,1
2246,0002,0000,1100,0000,0,1,0011,1,1,1,1
2256,0002,0000,1100,0001,0,1,0011,1,1,1,1
2266,0002,0000,1100,0010,0,1,0011,1,1,1,1
2276,0002,0000,1100,0011,0,1,0011,1,1,1,1
2286,0002,0000,1100,0100,0,1,0011,1,1,1,1
2296,0002,0000,1100,0101,0,1,0011,1,1,1,1
2306,0002,0000,1100,0110,0,1,0011,1,1,1,1
2316,0002,0000,1100,0111,0,1,0011,1,1,1,1
2326,0002,0000,1100,1000,0,1,0011,1,1,1,1
2336,0002,0000,1100,1001,0,1,0011,1,1,1,1
2346,0002,0000,1100,1010,0,1,0011,1,1,1,1
2356,0002,0000,1100,1011,0,1,0011,1,1,1,1
2366,0002,0000,1100,1100,0,1,0011,1,1,1,1
2376,0002,0000,1100,1101,0,1,0011,1,1,1,1
2386,0002,0000,1100,1110,0,1,0011,1,1,1,1
2396,0002,0000,1100,1111,0,1,0011,1,1,1,1
2406,0002,0000,1101,0000,0,1,0010,1,1,1,1
2416,0002,0000,1101,0001,0,1,0010,1,1,1,1
2426,0002,0000,1101,0010,0,1,0010,1,1,1,1
2436,0002,0000,1101,0011,0,1,0010,1,1,1,1
2446,0002,0000,1101,0100,0,1,0010,1,1,1,1
